HEI name,Type,Region,Funding,URL,Comment
H für angewandte Wissenschaften Würzburg-Schweinfurt in Schweinfurt (FH),Fachhochschulen (ohne VerwFH),Bayern,Land,www.fhws.de,d
FH des Mittelstandes (FHM) in Bamberg (FH),Fachhochschulen (ohne VerwFH),Bayern,Privat,www.fh-mittelstand.de,d
HDBW Hochschule der Bayerischen Wirtschaft für angewandte Wissenschaften in München (FH),Fachhochschulen (ohne VerwFH),Bayern,Privat,www.hdbw-hochschule.de,x
"Hochschule für angewandtes Management, Ismaning (FH)",Fachhochschulen (ohne VerwFH),Bayern,Privat,www.fham.de,x
Internationale Hochschule SDI München-Hochschule für angewandte Wissenschaften (FH),Fachhochschulen (ohne VerwFH),Bayern,Privat,www.sdi-muenchen.de,x
Munich Business School München (FH),Fachhochschulen (ohne VerwFH),Bayern,Privat,www.munich-business-school.de,x
"SRH Wilhelm Löhe Hochschule, Fürth (FH)",Fachhochschulen (ohne VerwFH),Bayern,Privat,www.srh-hochschule-fuerth.de,x
Deutsche Hochschule für Gesundheit und Sport Berlin in Ismaning (FH),Fachhochschulen (ohne VerwFH),Bayern,Privat,www.dhgs-hochschule.de,d
HSD Hochschule Döpfer Köln in Regensburg (FH),Fachhochschulen (ohne VerwFH),Bayern,Privat,www.hs-doepfer.de,d
Evang. Hochschule Nürnberg (FH),Fachhochschulen (ohne VerwFH),Bayern,Kirchlich,www.evhn.de,x
Katholische Stiftungshochschule München (FH),Fachhochschulen (ohne VerwFH),Bayern,Kirchlich,www.ksh-muenchen.de,x
Alice Salomon Hochschule Berlin (FH),Fachhochschulen (ohne VerwFH),Berlin,Land,www.ash-berlin.eu,x
Berliner Hochschule für Technik (FH),Fachhochschulen (ohne VerwFH),Berlin,Land,www.bht-berlin.de,x
H für Technik und Wirtschaft Berlin (FH),Fachhochschulen (ohne VerwFH),Berlin,Land,www.htw-berlin.de,x
"HWR Berlin, Fachbereich Wirtschaft (FH)",Fachhochschulen (ohne VerwFH),Berlin,Land,www.hwr-berlin.de,x
Touro College Berlin (FH),Fachhochschulen (ohne VerwFH),Berlin,Privat,www.touroberlin.de,x
BSP Business and Law School - Hochschule für Management und Recht Berlin in Berlin (FH),Fachhochschulen (ohne VerwFH),Berlin,Privat,www.businessschool-berlin.de,x
bbw Hochschule Berlin (FH),Fachhochschulen (ohne VerwFH),Berlin,Privat,www.bbw-hochschule.de,x
Akkon Hochschule Berlin (FH),Fachhochschulen (ohne VerwFH),Berlin,Privat,www.akkon-hochschule.de,x
"Medical School Berlin, H für Gesundheit und Medizin (FH)",Fachhochschulen (ohne VerwFH),Berlin,Privat,www.medicalschool-berlin.de,x
Digital Business University Berlin (FH),Fachhochschulen (ohne VerwFH),Berlin,Privat,www.dbuas.de,x
"H für Medien, Kommunikation und Wirtschaft Berlin in Berlin (FH)",Fachhochschulen (ohne VerwFH),Berlin,Privat,www.hmkw.de,x
SRH Berlin University of Applied Sciences in Berlin (FH),Fachhochschulen (ohne VerwFH),Berlin,Privat,www.srh-berlin.de,x
CODE University of Applied Sciences Berlin (FH),Fachhochschulen (ohne VerwFH),Berlin,Privat,code.berlin,x
Hochschule für angewandte Pädagogik Berlin (FH),Fachhochschulen (ohne VerwFH),Berlin,Privat,www.hsap.de,x
Berlin International University of Applied Sciences (FH),Fachhochschulen (ohne VerwFH),Berlin,Privat,www.berlin-international.de,x
DEKRA Hochschule für Medien Berlin (FH),Fachhochschulen (ohne VerwFH),Berlin,Privat,www.dekra-hochschule.de,x
Quadriga Hochschule Berlin (FH),Fachhochschulen (ohne VerwFH),Berlin,Privat,www.quadriga-hochschule.com,x
Evangelische Hochschule Berlin (FH),Fachhochschulen (ohne VerwFH),Berlin,Kirchlich,www.eh-berlin.de,x
Katholische Hochschule für Sozialwesen Berlin (FH),Fachhochschulen (ohne VerwFH),Berlin,Kirchlich,www.khsb-berlin.de,x
Technische Hochschule Brandenburg (FH),Fachhochschulen (ohne VerwFH),Brandenburg,Land,www.th-brandenburg.de,x
Hochschule für nachhaltige Entwicklung Eberswalde (FH),Fachhochschulen (ohne VerwFH),Brandenburg,Land,www.hnee.de,x
FH Potsdam,Fachhochschulen (ohne VerwFH),Brandenburg,Land,www.fh-potsdam.de,x
Fachhochschule für Sport und Management Potsdam (FH),Fachhochschulen (ohne VerwFH),Brandenburg,Privat,www.fhsmp.de,x
Technische Hochschule Wildau (FH),Fachhochschulen (ohne VerwFH),Brandenburg,Land,www.th-wildau.de,x
Theologische Hochschule Elstal (FH),Fachhochschulen (ohne VerwFH),Brandenburg,Kirchlich,www.th-elstal.de,x
Fachhochschule Clara Hoffbauer Potsdam (FH),Fachhochschulen (ohne VerwFH),Brandenburg,Privat,www.fhchp.de,x
XU Exponential University Potsdam (FH),Fachhochschulen (ohne VerwFH),Brandenburg,Privat,Xu-university.com,x
GISMA Business School Potsdam (FH),Fachhochschulen (ohne VerwFH),Brandenburg,Privat,www.gisma.com,x
H Bremen (FH),Fachhochschulen (ohne VerwFH),Bremen,Land,www.hs-bremen.de,x
